정류장명,위도,경도
하계역,37.6367,127.0681167
하계미성아파트,37.63485,127.0689167
한성여객종점,37.6385667,127.06985
하계현대아파트,37.6449833,127.0711333
홈플러스중계점,37.6403,127.0691
하계역,37.6367,127.0676667
하계장미아파트,37.6340833,127.0687667
하계극동아파트,37.6340333,127.0648667
하계시영아파트,37.6340333,127.0654333
하계우성아파트,37.6352667,127.06685
하계장미아파트,37.6349667,127.0669167
태릉입구,37.6183667,127.0786
수락리버시티3.4단지,37.6871833,127.0526333
동막골유원지,37.6751667,127.0865333
상계4동,37.6739167,127.08445
상계3.4동주민센터,37.6725,127.0830667
상계3.4동주민센터,37.6735,127.0842333
동막골유원지,37.6751,127.0866333
당고개역,37.6707333,127.0796667
한국스포츠정책과학원,37.6356667,127.1062333
당고개역,37.6704333,127.0801333
수락터미널,37.67875,127.05365
공덕역2번출구,37.54515,126.94845
공덕역1번출구,37.5444833,126.9493667
서서울농협홍대역점,37.5564,126.9198667
동교로사거리,37.5558833,126.92095
성산2교,37.5642833,126.9125
성산2교,37.5639,126.9132333
성미약수터,37.5618333,126.9151
성미약수터,37.5625167,126.9141
경성중고.홍대부속여중고입구,37.5596833,126.9166167
경성중고.홍대부속여중고입구,37.5598167,126.9169167
서울도시가스마포사옥,37.55735,126.91925
서울도시가스마포사옥,37.5579167,126.9182167
마포구청역,37.5627667,126.9026667
마포구청역,37.5622833,126.9022333
마포중앙도서관,37.5637167,126.9067333
마포중앙도서관,37.5640667,126.90685
성산2교,37.5655333,126.9132333
성산2교,37.5655667,126.9122333
광흥창역.서강동주민센터,37.5483167,126.9319167
광흥창역.서강동주민센터,37.5481833,126.9313667
창전현대홈타운,37.5506833,126.93265
창전현대홈타운,37.5507333,126.9321833
신촌로터리,37.55405,126.93485
신촌로터리,37.5540833,126.9356833
이대역6번출구,37.5565333,126.9447667
이화여대입구,37.5559667,126.94575
대흥교회,37.554,126.9457667
서강대학교후문,37.5505833,126.9439667
양화진성지공원입구,37.5486,126.9122667
홀트아동복지회,37.5489833,126.9120667
합정역,37.5511333,126.9157167
합정역,37.5501833,126.9151333
홍대입구역,37.5565333,126.9230167
홍대입구역,37.5566667,126.92385
연남동,37.5624833,126.9275
신촌역,37.5556833,126.9347667
메세나폴리스,37.5508,126.91295
마포한강푸르지오,37.5507833,126.9125667
성산초등학교입구,37.5531667,126.91185
성산초등학교입구,37.5532,126.9122833
기업은행서교동지점(최규하대통령가옥),37.5548333,126.9114667
기업은행서교동지점(최규하대통령가옥),37.5549,126.9109
망원시장.망원동월드컵시장입구,37.55755,126.9084833
망원시장.망원동월드컵시장입구,37.5576167,126.90895
마포구청역입구,37.5604167,126.9062667
마포구청역입구,37.5606167,126.9057167
월드컵파크7단지,37.5811667,126.8784333
월드컵파크7단지,37.5819667,126.8791833
월드컵경기장북측,37.5728667,126.89935
월드컵경기장북측,37.5739833,126.8982333
상암DMC홍보관.YTN,37.5779833,126.8913167
상암DMC홍보관.YTN,37.5775333,126.8913
월드컵파크5단지.상암중고등학교입구,37.58105,126.88615
월드컵파크5단지,37.5803667,126.8865167
구룡근린공원,37.5834667,126.8826167
상암고등학교,37.5818167,126.88405
월드컵파크3단지후문,37.5712167,126.8897
마포아트센터,37.5497833,126.9437667
디지털미디어시티역2번출구,37.5750333,126.8996333
누리꿈스퀘어.MBC,37.5789833,126.8896333
서교동주민센터.마포신문사,37.5549333,126.91635
동교로사거리,37.5556833,126.9198333
월드컵경기장북측,37.5736667,126.8979333
월드컵공원입구.문화비축기지입구,37.5681,126.8925667
이대역(중),37.5568833,126.9472
합정역(중),37.5495833,126.9138333
서교동(중),37.5541833,126.9201
홍대입구역(중),37.5573833,126.9244
동교동삼거리(중),37.5578167,126.9294
신촌오거리.현대백화점(중),37.556,126.9344667
신촌오거리.2호선신촌역(중),37.5557,126.9386333
이대역(중),37.55665,126.9447333
신촌오거리.2호선신촌역(중),37.5561167,126.9402833
신촌오거리.현대백화점(중),37.5554833,126.9356833
동교동삼거리(중),37.5580333,126.9285833
홍대입구역(중),37.5565833,126.9234833
서교동(중),37.55365,126.9195333
합정역(중),37.5489333,126.9129833
디지털미디어시티역,37.5750667,126.9005
독산근린공원,37.46415,126.8842833
독산근린공원,37.46465,126.8845167
독산동우시장.금천50플러스센터,37.4666333,126.8950333
독산동우시장.금천50플러스센터,37.4664167,126.8956667
시흥사거리.시흥대교,37.4544667,126.8994833
시흥사거리.금천파출소,37.4543167,126.89975
벽산아파트1단지.호압사입구,37.4529,126.9208667
벽산아파트1단지.호압사입구,37.4530167,126.9211833
벽산아파트5단지,37.4467667,126.91885
벽산아파트5단지,37.4467333,126.9193
은행나무입구사거리,37.4518167,126.9067167
독산고개,37.4763667,126.89895
남문시장.청춘삘딩,37.4730167,126.8986333
금천우체국.독산1동주민센터,37.4702333,126.8978167
홈플러스금천점,37.4687833,126.8976167
시흥사거리,37.4530333,126.9008667
문일고입구,37.4507,126.90175
문일고입구,37.45085,126.9023167
남서울힐스테이트.국립전통예술고,37.4467667,126.9032833
금천폭포공원.천주교시흥성당,37.4477667,126.9035167
박미마을.금천고등학교,37.4431667,126.9039833
기아대교,37.4395333,126.903
시흥3동주민센터앞,37.4402167,126.9036
백산초등학교,37.4488167,126.9039833
백산초등학교,37.4486667,126.9042333
은행나무입구사거리,37.4511333,126.9058167
은행나무입구사거리,37.4513833,126.9060667
경남아파트,37.4536667,126.9062667
시흥초등학교.금천구보훈회관,37.4546,126.9058667
시흥초등학교.금천구보훈회관,37.4554,126.90595
동산교회앞,37.4574,126.9052833
동산교회앞,37.4570667,126.9056167
현대시장.시흥4동주민센터,37.45965,126.9048333
현대시장.시흥4동주민센터,37.4592833,126.9051667
남부여성발전센터,37.46235,126.90415
남부여성발전센터,37.4625,126.90435
독산동정훈단지,37.4654833,126.9020667
독산동정훈단지,37.4645,126.903
독산초등학교,37.4665833,126.8997167
독산초등학교,37.4663667,126.9000333
독산4동주민센터,37.4673833,126.9019833
독산동성당앞,37.4689667,126.9022333
독산동성당앞,37.46975,126.90275
독산동쌈지공원,37.4713167,126.90295
독산동쌈지공원,37.4712167,126.9031833
독산3동주민센터,37.4753667,126.90335
독산3동주민센터,37.4758667,126.90365
모두의학교.금천문화예술정보학교,37.4788833,126.9037
모두의학교.금천문화예술정보학교,37.4787,126.9039333
모두의학교.금천문화예술정보학교,37.4799667,126.9056167
관악구보훈회관.신림푸르지오,37.4806333,126.9091833
금천우체국.독산1동주민센터,37.4697833,126.8972667
진도아파트,37.47045,126.8924333
가산디지털단지역입구,37.4812833,126.8867
가산동기점,37.4852333,126.8752833
가산동종점,37.4850667,126.8752667
디지털3단지.영창실업,37.4833667,126.8789667
디지털3단지.가산비즈니스센터,37.4796667,126.8799
디지털3단지운동장,37.4824,126.8780667
독산동남문시장,37.47355,126.9031667
독산동남문시장,37.4734,126.9034167
독산역,37.4664,126.88765
독산역,37.4665167,126.8878333
산업단지백양사,37.4770667,126.8829333
에이스하이엔드10차,37.4685167,126.88695
대륭테크노타운17차,37.4686,126.8866833
STXV타워,37.47725,126.8831
가산디지털단지역,37.4812333,126.8829667
석수역(중),37.4347,126.903
패션단지,37.4785333,126.8886
패션단지,37.4783,126.8887333
가산디지털단지역,37.48065,126.88395
7호선가산디지털단지역,37.4795333,126.8820833
구로세관,37.4724167,126.885
구로세관,37.4725833,126.8851667
LG전자,37.4702833,126.8859333
LG전자,37.4711667,126.8857833
한일유엔아이아파트,37.4854,126.8760333
중계본동종점,37.6439833,127.0830667
불암산스포츠타운,37.63895,127.0826
불암산스포츠타운,37.6388333,127.0827167
상계초등학교,37.6577167,127.0658333
서울과학기술대학교후문,37.6322667,127.0833
서울과학기술대학교후문,37.6311,127.0830833
당고개입구오거리,37.6630167,127.0753333
상계주공14단지,37.67095,127.0578333
수락산역,37.6778333,127.0551167
14단지상가,37.6697833,127.0595
상원중학교,37.67115,127.0579333
상원초등학교,37.66805,127.0605333
상계현대3차아파트,37.67085,127.05375
지에스마트,37.6634333,127.06615
성원아파트,37.66035,127.0655667
14단지상가,37.6699,127.0596667
온곡중학교,37.66045,127.06535
상계주공13단지,37.6666833,127.0638833
보람아파트상가,37.6646667,127.0651667
지에스마트,37.6638167,127.0659833
상계주공15단지,37.6706667,127.0536
보람아파트정문,37.6645833,127.0644
상계주공13단지,37.6667833,127.0634167
상계1차현대아파트,37.6720833,127.0527833
상원초등학교,37.6681,127.06025
수락리버시티3.4단지,37.6872667,127.0527333
노일초등학교,37.6736667,127.05525
노일중학교,37.6725333,127.0547
수락리버시티3.4단지,37.6871,127.0528167
수락산역,37.67705,127.0555167
노원역10번출구,37.6566833,127.0644167
노원역2번출구,37.6561333,127.0631167
노원구청,37.6543667,127.0572167
청원고등학교후문,37.6670333,127.06165
보람1차후문,37.6621333,127.0657
청원고등학교후문,37.6671167,127.06195
보람1차후문,37.66215,127.06595
덕은교.은평차고지앞(중),37.5896,126.8841
덕은교.은평차고지앞(중),37.5891833,126.88475
수색교(중),37.5858667,126.8885167
수색교(중),37.5854,126.8892
수색역앞(중),37.58325,126.8932667
수색역앞(중),37.583,126.89405
디지털미디어시티역(중),37.5790667,126.90055
디지털미디어시티역(중),37.5785333,126.9013667
은평뉴타운10단지(중),37.6429833,126.91495
은평뉴타운10단지(중),37.64375,126.9134333
구파발역입구(중),37.63695,126.9169833
구파발역입구(중),37.63755,126.9168167
박석고개.신도고등학교(중),37.62995,126.9193667
박석고개.신도고등학교(중),37.6308,126.9191167
불광역1번출구,37.6099,126.9306667
불광역3.6호선,37.6125167,126.9284
연신내역,37.6182167,126.9221667
구파발역2번출구,37.6366667,126.919
연신내역,37.61755,126.9222333
동명여고,37.616,126.92405
불광역3.6호선,37.6128833,126.9276333
불광역4번출구,37.6093167,126.9306667
녹번역,37.6011833,126.9333667
은평구청,37.60145,126.9304
은평세무서,37.6014333,126.9263333
본서부병원,37.6008833,126.9236833
신진과학기술고교.이마트은평점,37.5999167,126.9191833
응암역신사오거리,37.5990667,126.9151167
응암역신사오거리,37.5987833,126.9149833
신진과학기술고교.이마트은평점,37.5995667,126.9186333
본서부병원,37.6005833,126.9235833
은평세무서,37.60125,126.92665
은평구청,37.6012,126.9303
녹번초등학교.은평세무서,37.60295,126.9261333
역촌역.역촌오거리,37.6069833,126.9224833
삼성타운,37.6087333,126.9209667
구산역1번출구.예일여고,37.6108833,126.9181833
역촌중앙시장,37.6128667,126.9145167
구산사거리,37.6137167,126.9120833
선진운수종점,37.6142,126.9107833
선정중고등학교,37.6156667,126.9085833
서울경찰청86.87기동대.우남아파트,37.6179833,126.9064667
서울경찰청86.87기동대.우남아파트,37.6185833,126.9058167
난지한강공원,37.5679333,126.8771833
난지한강공원,37.5678667,126.87825
월드컵파크9.10.11.12단지,37.5843667,126.87995
월드컵파크9.10.11.12단지,37.58525,126.87885
월드컵파크10단지,37.5861333,126.8814333
하늘초등학교,37.5853167,126.8797333
월드컵파크11.12단지,37.5862333,126.8809333
공항철도디지털미디어시티역,37.5769833,126.8981
공항철도디지털미디어시티역,37.5767333,126.8989
SBS.YTN,37.5797333,126.8940833
SBS.YTN,37.5797167,126.8944
DMC첨단산업센터,37.58365,126.8866167
DMC첨단산업센터,37.5839833,126.8867
합정역,37.5505333,126.9148833
마포자이2차아파트.대흥역,37.5482333,126.9420167
웨딩타운(중),37.55725,126.95265
웨딩타운(중),37.5570333,126.9511667
아현역(중),37.5573,126.95495
아현역(중),37.5574167,126.95675
홍대입구,37.5547,126.92055
상암고등학교(마을),37.58225,126.8833
상암고등학교(마을),37.5821,126.8844
목동2단지,37.5366333,126.8779333
목동3단지,37.5348333,126.8757167
목동4단지상가.목동종합운동장,37.5321833,126.8750833
신목동역,37.5459833,126.8815
월촌중학교.목동1단지,37.5379333,126.8817
목동5단지C상가.목동운동장북문,37.5328667,126.8775333
파리공원,37.5345833,126.8783
목동5단지B상가.목5동주민센터,37.53575,126.8814
이대목동병원.목동6단지앞,37.5367333,126.88425
목동아파트601동앞.이대병원,37.5359333,126.88325
목동아파트5.6단지사잇길.경인초교,37.5329,126.88385
양정고등학교,37.5352667,126.8879
목1동주민센터,37.5298833,126.8734667
목동7단지,37.5282167,126.8701667
목운초등학교.목운중학교,37.52615,126.8731833
목동운동장남문.아이스링크,37.5286667,126.8766167
종로2가사거리(중),37.5697833,126.9877333
창경궁.서울대학교병원(중),37.5792333,126.9965667
명륜3가.성대입구(중),37.5827,126.9983333
종로2가.삼일교(중),37.5686833,126.9875333
혜화동로터리.여운형활동터(중),37.5862333,127.00175
사직단.어린이도서관,37.5751333,126.9680167
경복궁역1번출구,37.5761167,126.9715833
경복궁,37.5756167,126.9787333
KT광화문지사,37.5724333,126.9773167
광화문역6번출구,37.5700333,126.97625
서울역사박물관.경교장.강북삼성병원,37.5700333,126.9713
광화문,37.5703333,126.9758333
세종문화회관,37.57265,126.9763667
서울경찰청.경복궁역,37.5758167,126.9714833
사직단,37.5748833,126.9681833
광화문.광화문빌딩,37.5695167,126.97675
덕성여중고,37.57585,126.9819667
국민은행세검정지점,37.6047,126.9608833
국민은행세검정지점,37.6047667,126.96125
구기터널.삼성출판박물관,37.6086333,126.9562
구기터널.삼성출판박물관,37.6083333,126.9564167
구기동,37.607,126.9585333
구기동,37.6070667,126.9590333
갑을씨티텔앞,37.6044,126.9635333
평창파출소,37.60535,126.9660333
평창동주민센터,37.6066333,126.9695667
일성아파트,37.6088,126.973
대한항공훈련센터,37.5463167,126.81315
대한항공화물청사,37.55155,126.81335
대한항공훈련센터,37.5458667,126.8123333
국립항공박물관,37.5563167,126.8075833
태영송화아파트,37.5539167,126.8673833
강서구청사거리.서울디지털대학교(중),37.5549333,126.8553667
강서구청사거리.서울디지털대학교(중),37.5552,126.8543167
KBS스포츠월드(중),37.55665,126.8504167
KBS스포츠월드(중),37.5569667,126.8491833
한국가스기술공사(중),37.5579333,126.8451167
한국가스기술공사(중),37.5579667,126.8438167
발산역(중),37.55855,126.83875
김포공항국제선(6번홈),37.5657333,126.8019667
김포공항국내선(9번홈),37.5595,126.8032833
김포공항국내선(10번홈),37.5596833,126.80305
김포공항국내선(4번홈),37.5585833,126.8044167
화곡역7번출구,37.5412833,126.8387333
오쇠동꽃단지,37.53815,126.7974667
오쇠동꽃단지,37.5381833,126.79765
핑크힐병원,37.5493667,126.8754833
롯데몰.김포공항역,37.5623,126.8032667
대한항공,37.5500667,126.81515
송정역(중),37.5613833,126.8109667
송정역(중),37.5614167,126.8097333
공항중학교.마곡엠밸리9.10단지(중),37.5607833,126.8157667
강서면허시험장,37.55035,126.8188833
신방화역7번출구,37.5669667,126.81635
화곡중고등학교,37.5472333,126.8364833
마곡엠밸리5단지,37.5662667,126.8168
화곡중앙골목시장,37.53475,126.8378167
발산역(중),37.5586,126.8376
공항중학교.마곡엠밸리9.10단지(중),37.5607333,126.8171667
마곡역(중),37.5596833,126.8275333
마곡역(중),37.5597167,126.8262167
대한항공.메이필드호텔,37.5497667,126.81685
영인운수.차고지,37.5453167,126.8177833
영인운수.차고지,37.5453,126.8179167
마곡동로사거리(중),37.5590833,126.8325833
마곡동로사거리(중),37.55905,126.8339333
대한항공,37.5499333,126.8163667
김포공항국내선(11-4번홈),37.5602833,126.80235
김포공항국내선(12번홈),37.5590333,126.8043
김포공항국내선(11-1번홈),37.5598833,126.8027833
다운어린이공원.치유하는교회,37.5325667,126.8438167
강서세무서(중),37.56015,126.8228
강서세무서(중),37.5601,126.8222167
김포공항역3번출구,37.56245,126.8018833
김포공항국제선(1경기),37.5653,126.8011
김포공항국제선(2충청.전라),37.56545,126.8012667
김포공항국제선(3강원.경상),37.5655833,126.80145
김포공항국내선(11-3번홈),37.56015,126.8024667
김포공항국내선(11-2번홈),37.56,126.80265
신도림역(중),37.5096667,126.8892333
신도림역(중),37.50915,126.8884667
신도림동.구로역(중),37.5060167,126.8839333
신도림동.구로역(중),37.5054833,126.8833667
구일역.중앙유통상가(중),37.4998333,126.8746167
구일역.제일제당(중),37.4996333,126.87445
동양미래대학.구로성심병원(중),37.4996833,126.8679833
동양미래대학.구로성심병원(중),37.4995,126.8672167
개봉역.영화아파트(중),37.4969167,126.86015
개봉역.한마을아파트(중),37.4965,126.8621667
경인중학교.개봉사거리(중),37.4973333,126.85555
경인중학교.개봉사거리(중),37.4972333,126.8551333
구로디지털단지역(중),37.4830667,126.90155
신도림역,37.5072,126.8915333
구로고등학교,37.4965667,126.8916833
영림중학교,37.4969833,126.8918333
구로구청,37.4945833,126.88785
구로구청,37.4948,126.8876
고대구로병원후문,37.49315,126.88435
대림역,37.4909833,126.8940167
대림역,37.4911333,126.89385
영서중학교,37.4898667,126.8922333
구로두산아파트,37.4888167,126.8901167
구로종합사회복지관,37.4879,126.8892167
남구로역2번출구,37.4853167,126.8868
목동7단지.종로학원,37.5255667,126.8691667
목동대학학원,37.5249667,126.87345
오목교역.동신한방병원,37.5244667,126.87695
갈산초등학교정문,37.51285,126.8705
오목교역.동신한방병원,37.5241333,126.87695
목동13단지,37.51425,126.8693167
목동14단지,37.5147833,126.8695833
신트리공원,37.51445,126.8575667
양천구청역,37.5126,126.8653333
양천공원,37.5179667,126.8697333
양천구청,37.5164833,126.8668333
양천구민체육센터.양천일자리센터,37.5155833,126.8642333
목동12단지,37.5142333,126.8603333
갈산초등학교정문,37.51275,126.8701833
갈산초등학교후문,37.5110333,126.8692833
갈산초등학교후문,37.51125,126.8695333
은정초등학교,37.51065,126.8670833
은정초등학교,37.5104333,126.8673333
목동우성아파트입구,37.5082167,126.8639
양천아파트,37.5082167,126.86335
봉영여중.목동고,37.5073167,126.86185
봉영여중.목동고,37.5074333,126.8614333
양천노인종합복지관,37.51,126.8587167
양천구청역,37.5128,126.8664833
신정네거리.해누리분수광장,37.5219333,126.8515167
신정네거리.신정119안전센터,37.5220833,126.8507333
동방아파트,37.5219167,126.8463333
동방아파트.신월종합사회복지관,37.5214667,126.8463
신곡시장.금빛새마을금고,37.5196833,126.84375
신곡시장.금빛새마을금고,37.5193167,126.8438333
신한은행신월동지점,37.5176833,126.8408333
신한은행신월동지점,37.5178667,126.8418667
신월동남부주유소,37.5193333,126.8386167
신월2동우체국,37.5230667,126.8512667
신트리사거리,37.51315,126.85595
신트리아파트,37.5129,126.85415
정랑고개.양천벤처타운,37.5116,126.8503833
신정학마을아파트,37.5074333,126.84395
양천고등학교,37.50995,126.8456
신트리공원.목동아파트11단지,37.5140167,126.8573667
목동10단지상가,37.5160167,126.8597
양천문화회관.양천일자리센터,37.5169667,126.8624333
신정1동우체국,37.5219667,126.8616167
우리은행신정동지점,37.5217,126.8593167
신정네거리역,37.52105,126.8535333
길훈로즈빌아파트,37.52255,126.8712167
