공원명,위도,경도,이미지,지역,공원주소
와우근린공원,37.5517298,126.9289936,http://parks.seoul.go.kr/file/info/view.do?fIdx=1534,마포구,서울특별시 마포구 창전동 3-193번지 일대(홍익대 뒷산)
금호근린공원,37.5494726,127.0189457,http://parks.seoul.go.kr/file/info/view.do?fIdx=1535,성동구,서울특별시 성동구 장터1길 18
달맞이근린공원,37.543564,127.0212054,http://parks.seoul.go.kr/file/info/view.do?fIdx=1536,성동구,서울특별시 성동구 옥수동 산1-1
문정근린공원,37.4862156,127.1275819,http://parks.seoul.go.kr/file/info/view.do?fIdx=1537,송파구,서울특별시 송파구 문정동 18-4
문화예술공원,37.467654,127.030517,http://parks.seoul.go.kr/file/info/view.do?fIdx=1539,서초구,서울특별시 서초구 바우뫼로12길 40 (양재동)
세종로공원,37.5735,126.9758875,http://parks.seoul.go.kr/file/info/view.do?fIdx=1698,종로구,서울특별시 종로구 세종대로 189 (우) 03172
샘말공원(관악산근린공원 샘말지구),37.4642128,126.938511,http://parks.seoul.go.kr/file/info/view.do?fIdx=1699,관악구,서울특별시 관악구 대학동 산63-1일대 샘말공원
초안산생태공원,37.6479483,127.0405382,http://parks.seoul.go.kr/file/info/view.do?fIdx=1708,도봉구,서울특별시 도봉구 창동 산24
푸른수목원,37.483029,126.82407,http://parks.seoul.go.kr/file/info/view.do?fIdx=1718,구로구,서울특별시 구로구 서해안로 2117(항동81-1) 푸른수목원관리사무소
서오능도시자연공원,37.6374823,126.9134338,http://parks.seoul.go.kr/file/info/view.do?fIdx=1726,은평구,서울특별시 은평구 구파발동 갈현동 진관내동
청계산도시자연공원,37.4224347,127.0424726,http://parks.seoul.go.kr/file/info/view.do?fIdx=1736,서초구,서울특별시 서초구 원지동 산 33
개화근린공원,37.5813917,126.8068278,http://parks.seoul.go.kr/file/info/view.do?fIdx=1730,강서구,서울특별시 강서구 개화동 산17
아차산공원,37.5517142,127.1010031,http://parks.seoul.go.kr/file/info/view.do?fIdx=1731,광진구,서울특별시 광진구 광장동 370
인능산도시자연공원,37.4482109,127.0666632,http://parks.seoul.go.kr/file/info/view.do?fIdx=1732,서초구,서울특별시 서초구 내곡동 산12-404
구룡산도시자연공원,37.4689473,127.061567,http://parks.seoul.go.kr/file/info/view.do?fIdx=1733,서초구,서울특별시 서초구 염곡동 산25-1
우면산도시자연공원,37.470484,127.0091324,http://parks.seoul.go.kr/file/info/view.do?fIdx=1673,서초구,서울특별시 서초구 우면동 산35-1
향림근린공원,37.6293824,126.9240693,http://parks.seoul.go.kr/file/info/view.do?fIdx=1734,은평구,서울특별시 은평구 진관동 산55
신사근린공원,37.5920771,126.9102948,http://parks.seoul.go.kr/file/info/view.do?fIdx=1735,은평구,서울특별시 은평구 신사동 산80-4
광평근린공원,37.4880445,127.092184,http://parks.seoul.go.kr/file/info/view.do?fIdx=1946,강남구,서울특별시 강남구 수서동 산10-1
청담근린공원,37.5213259,127.052453,http://parks.seoul.go.kr/file/info/view.do?fIdx=1948,강남구,서울특별시 강남구 청담동 66
허브천문공원,37.5372715,127.1533951,http://parks.seoul.go.kr/file/info/view.do?fIdx=1917,강동구,서울특별시 강동구 둔촌동 산94
연신내물빛공원,37.619052,126.9207354,http://parks.seoul.go.kr/file/info/view.do?fIdx=1737,은평구,서울특별시 은평구 통일로 849
숭인근린공원,37.5764419,127.0178267,http://parks.seoul.go.kr/file/info/view.do?fIdx=1740,종로구,서울특별시 종로구 숭인동 58
서일대뒷산공원,37.5877155,127.0987817,http://parks.seoul.go.kr/file/info/view.do?fIdx=1741,중랑구,서울특별시 중랑구 면목동 산19
용마도시자연공원(사가정공원),37.5797622,127.095997,http://parks.seoul.go.kr/file/info/view.do?fIdx=1947,중랑구,서울특별시 중랑구 면목7동 산50 
문화비축기지,37.57171848,126.8932455,http://parks.seoul.go.kr/file/info/view.do?fIdx=1945,마포구,서울특별시 마포구 증산로 87
경춘선숲길,37.627077,127.076482,http://parks.seoul.go.kr/file/info/view.do?fIdx=1906,,노원구 공릉2동 산 82-2
율현공원,37.472332,127.115594,http://parks.seoul.go.kr/file/info/view.do?fIdx=1738,강남구,서울특별시 강남구 밤고개로24길 91(율현동 56)
