학교명,위도,경도,설립형태,소재지도로명주소
용문중학교,37.49187337,127.5988154,사립,경기도 양평군 용문면 용문로 437
난곡중학교,37.47804558,126.9107916,공립,서울특별시 금천구 문성로 67
석우중학교,37.20830479,127.0704255,공립,경기도 화성시 동탄중앙로 264
의왕부곡중학교,37.31483225,126.9570769,공립,경기도 의왕시 부곡중학길 61
포천중학교,37.90694114,127.2025475,공립,경기도 포천시 신북면 중앙로207번길 65
운정중학교,37.707956,126.755632,공립,경기도 파주시 와석순환로 35-33
발산중학교,37.66984321,126.7696268,공립,경기도 고양시 일산서구 고봉로 99
만정중학교,37.0086015,127.1729856,공립,경기도 안성시 공도읍 송원길 21-6
휘문중학교,37.50528945,127.061984,사립,서울특별시 강남구 역삼로 541
소현중학교,37.30158937,127.0937847,공립,경기도 용인시 기흥구 만현로133번길 96
무원중학교,37.6176865,126.830582,공립,경기도 고양시 덕양구 무원로 45
화정중학교,37.63491092,126.8264796,공립,경기도 고양시 덕양구 화신로 343
영북중학교,38.09364006,127.2776573,공립,경기도 포천시 영북면 영북로 214
서정중학교,37.618497,126.8497837,공립,경기도 고양시 덕양구 서정마을로 22
일산동중학교,37.69537427,126.7680679,공립,경기도 고양시 일산서구 현중로 48
지도중학교,37.62706051,126.8340317,공립,경기도 고양시 덕양구 성신로 46
한양대학교사범대학부속중학교,37.56191884,127.042324,사립,서울특별시 성동구 마조로 42
광덕중학교,37.33746804,126.8460351,공립,경기도 안산시 상록구 광덕산3로 15
토평중학교,37.59005331,127.1443047,공립,경기도 구리시 장자대로111번길 61
단월중학교,37.541051,127.6725011,사립,경기도 양평군 단월면 보룡길 83
현암중학교,37.32955546,127.1218001,공립,경기도 용인시 수지구 대지로 128
와우중학교,37.2191393,126.9660071,공립,경기도 화성시 봉담읍 동화역말길 55-40
용인신릉중학교,37.29025948,127.1160249,공립,경기도 용인시 기흥구 새천년로 57
홍은중학교,37.59189151,126.9357524,공립,서울특별시 서대문구 연희로41길 94
동도중학교,37.54670177,126.9469053,사립,서울특별시 마포구 백범로 139
한광여자중학교,36.99789035,127.0960037,사립,경기도 평택시 중앙1로 115
신연중학교,37.58271543,126.9398364,공립,서울특별시 서대문구 모래내로 408
