address,park,hospital,subway,bus,parking,element,middle,high,hospitalcount,homeKind
서울특별시 강남구 강남대로120길 52,0.3676134508651649,0.9320905459387484,0.9253640776699028,0.8002309468822171,0.7677946324387398,0.8922480620155039,0.3192578374920025,0.6166724799441925,0.1092933040984989,다가구주택
서울특별시 강남구 강남대로124길 70-1,0.4861247143323539,0.8881491344873502,0.9045307443365695,0.802540415704388,0.6892259821081291,0.7472868217054264,0.344849648112604,0.5326124869201256,0.0914150784280655,다가구주택
서울특별시 강남구 강남대로162길 27-11,0.5755794972249428,0.8588548601864181,0.905542071197411,0.8672055427251733,0.7821859198755348,0.6697674418604651,0.7396033269353807,0.8168817579351239,0.084331253162422,다가구주택
서울특별시 강남구 개포로 264,0.5863532484492329,0.8069241011984021,0.8157362459546925,0.8816397228637414,0.8253597821859199,0.8713178294573644,0.5617402431222009,0.8664108824555284,0.3439028503963569,아파트
서울특별시 강남구 개포로109길 5,0.5269343780607247,0.9986684420772304,0.9142394822006472,0.945727482678984,0.8580318942045897,0.7503875968992249,0.8259756877799105,0.8032786885245902,0.3019058863214707,아파트
서울특별시 강남구 개포로110길 38,0.6252040483186418,0.7496671105193076,0.9298139158576052,0.8735565819861432,0.8767016725009724,0.8666666666666667,0.8790786948176583,0.8500174398325776,0.3681902513071344,아파트
서울특별시 강남구 개포로110길 50,0.6611165523996083,0.7736351531291611,0.9152508090614888,0.9122401847575058,0.8852586542201478,0.775968992248062,0.9193857965451055,0.8475758632717126,0.4142351155338168,아파트
서울특별시 강남구 개포로15길 20,0.6372837087822396,0.8282290279627164,0.8377831715210355,0.8493071593533488,0.8591987553481135,0.5403100775193799,0.6525911708253359,0.7722357865364493,0.3047731489289931,다가구주택
서울특별시 강남구 개포로17길 9-10,0.6206333659810643,0.8908122503328895,0.8286812297734628,0.8764434180138568,0.852975495915986,0.5503875968992248,0.6257197696737045,0.7910708057202651,0.3174228369033564,다세대주택
서울특별시 강남구 개포로17길 9-12,0.6196539340515834,0.8921438082556591,0.827467637540453,0.8793302540415704,0.8588098016336057,0.5387596899224807,0.6212412028150992,0.7872340425531915,0.31894079946028,다세대주택
서울특별시 강남구 개포로24길 13,0.5690499510284035,0.8615179760319573,0.8029935275080906,0.8181293302540416,0.8370283936211591,0.6759689922480621,0.5470249520153552,0.8915242413672829,0.3599257884972171,다세대주택
서울특별시 강남구 개포로26길 23,0.554684949396017,0.7723035952063915,0.7900485436893203,0.7834872979214781,0.8747569039284325,0.7527131782945736,0.5227127319257838,0.9250087199162887,0.3850565019396188,다가구주택
서울특별시 강남구 광평로51길 49,0.7580803134182175,1.0,0.8988673139158576,0.9705542725173212,0.8245818747569039,0.8496124031007752,0.8502879078694818,0.88943146145797,0.6156181480856806,아파트
서울특별시 강남구 광평로56길 11,0.6301012079660464,0.8641810918774967,0.9265776699029126,0.8516166281755196,0.8024115130299494,0.6162790697674418,0.7050543825975688,0.8698988489710499,0.6849384381851915,아파트
서울특별시 강남구 광평로60길 32,0.5863532484492329,0.6817576564580559,0.899878640776699,0.8233256351039261,0.7467911318553092,0.6418604651162791,0.5860524632117723,0.8050226717823509,0.7024793388429753,아파트
서울특별시 강남구 남부순환로381길 55,0.8991185112634672,0.9573901464713716,0.9639967637540452,0.9572748267898384,0.7460132244262933,0.4682170542635658,0.7914267434420985,0.7132891524241367,0.1649519311856975,다세대주택
서울특별시 강남구 논현로113길 38-1,0.3930786810316682,0.7043941411451398,0.9395226537216828,0.8978060046189377,0.780630105017503,0.7248062015503876,0.2463211772232886,0.5409836065573771,0.0914150784280655,다가구주택
서울특별시 강남구 논현로117길 12-4,0.4756774404178909,0.877496671105193,0.9334546925566344,0.773094688221709,0.6857253986775573,0.624031007751938,0.326935380678183,0.4684339030345309,0.0924270534660145,다가구주택
서울특별시 강남구 논현로117길 12-6,0.4802481227554684,0.8615179760319573,0.9302184466019418,0.7644341801385681,0.6798910929599378,0.624031007751938,0.3358925143953934,0.4673875130798745,0.0922583909596896,다가구주택
서울특별시 강남구 논현로121길 35,0.4593535749265427,0.711051930758988,0.9174757281553398,0.7771362586605081,0.6970050563982886,0.7248062015503876,0.2975047984644914,0.5109870945238926,0.0912464159217406,다세대주택
서울특별시 강남구 논현로123길 13-8,0.5177930133855697,0.7949400798934754,0.9354773462783172,0.8348729792147807,0.6297160637884092,0.6193798449612403,0.4120281509916826,0.4618067666550401,0.0905717658964412,다가구주택
서울특별시 강남구 논현로12길 23-5,0.5964740450538688,0.8788282290279628,0.7404935275080906,0.922055427251732,0.8957604045118631,0.7736434108527132,0.6583493282149713,0.9298918730380188,0.4488109293304099,
서울특별시 강남구 논현로12길 23-6,0.5984329089128306,0.9027962716378164,0.74292071197411,0.9087759815242494,0.9031505250875146,0.7883720930232558,0.6436340371081254,0.937565399372166,0.4456063417102378,다세대주택
서울특별시 강남구 논현로12길 3-8,0.6154097290238328,0.8681757656458056,0.7255258899676376,0.9815242494226328,0.8630882924931933,0.703875968992248,0.72552783109405,0.8946634112312521,0.4683757800640917,다세대주택
서울특별시 강남구 논현로18길 14-4,0.6242246163891609,0.8868175765645805,0.7928802588996764,0.9486143187066974,0.8300272267600155,0.5472868217054263,0.6244401791426744,0.8353679804673875,0.3759487265980773,다가구주택
서울특별시 강남구 논현로18길 19,0.6088801828272935,0.8841544607190412,0.8023867313915858,0.9232101616628176,0.823803967327888,0.5527131782945737,0.5918106206014075,0.8378095570282525,0.3648170011806375,다가구주택
