면허번호,업종명,사업자구분,업체명,주사무소 우편번호,주사무소 주소,주사무소 상세주소,팩스번호,관할관청,면허상태
220390,화물주선업,개인,한보고속,06339,서울특별시 강남구 개포로140길 12,"405-1호(일원동,대동빌딩)",,강남구,정상
220586,화물주선업,개인,한성육운공사,08055,서울특별시 양천구 신정로 167,2동 3층 23호 (신정동),,양천구,정상
150007,화물주선업,개인,한성통운,08055,서울특별시 양천구 신정로 167,"3동 2층 1217호 (신정동, 서부트럭터미널)",,양천구,정상
230129,화물주선업,법인,카페24(주),07071,서울특별시 동작구 보라매로5길 15,(신대방동),,동작구,정상
220033,화물주선업,법인,만리상운(주),06779,서울특별시 서초구 강남대로16길 14-4,4층 401호(양재동),,서초구,정상
150106,화물주선업,개인,만리운수,08055,서울특별시 양천구 신정로 167,"2동 3층 4호(신정동, 서부트럭터미널)",,양천구,정상
20003,화물주선업,법인,한국신문수송(주),04508,서울특별시 중구 만리재로 209-3,(만리동1가),,중구,정상
881,화물주선업,개인,동부화물,02030,서울특별시 중랑구 묵2동,153-30,,중랑구,정상
150055,화물주선업,법인,(주)동부티엔에스,08055,서울특별시 양천구 신정로 167,"1동 2층 23호(신정동, 서부트럭터미널) ",,양천구,정상
150325,화물주선업,법인,(주)케이씨티시,04532,서울특별시 중구 남대문로 63,"16층(소공동,한진빌딩)",,중구,정상
220550,화물주선업,법인,동서물류(주),06747,서울특별시 서초구 바우뫼로 194,301호(양재동),,서초구,정상
150385,화물주선업,개인,동서통운,08055,서울특별시 양천구 신정로 167,"3동 1층 1113호 (신정동, 서부트럭터미널)",,양천구,정상
150030,화물주선업,법인,세창종합물류(주),08110,서울특별시 양천구 신정로 167,"1동 2층23호(신정동,서부트럭터미널)",,양천구,정상
250027,화물주선업,개인,기적익스프레스,07358,서울특별시 영등포구 여의대방로47길 25, (신길동),,영등포구,정상
150018,화물주선업,개인,동신종합물류,08055,서울특별시 양천구 신정로 167,"2동 3층 1호 (신정동, 서부트럭터미널)",,양천구,정상
150132,화물주선업,법인,(주)타워물류산업,08055,서울특별시 양천구 신정로 167,"1동 2층 20호(신정동, 서부트럭터미널) (신정동)",,양천구,정상
904,화물주선업,법인,(주)이디지털큐브,04797,서울특별시 성동구 성수이로 118,1228호 (성수동2가),,성동구,정상
190076,화물주선업,개인,동양운수,150-094,서울특별시 영등포구 문래동4가,28-10호 ,,영등포구,정상
20001,화물주선업,개인,동양이삿짐운송알선사,04565,서울특별시 중구 퇴계로 343-1,지층 (광희동2가),,중구,정상
250055,화물주선업,개인,동양통운,05344,서울특별시 강동구 길동,97,,강동구,정상
150053,화물주선업,법인,(주)동양지엘에스,08055,서울특별시 양천구 신정로 167,"1동 1층 14호 (신정동, 서부트럭터미널)",,양천구,정상
